69,"Hon. Justice Karibi-Whyte, CON",,"<p>Justice Karibi-Whyte was Chairman of the Body of Benchers from 2001 to 2002.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-10 13:55:39","2019-05-15 15:21:54"
70,"Chief C.A. Akpamgbo, SAN (Sir)",,"<p>Life Bencher, Former Chairman.</p>","2019-05-10 13:56:52","2019-05-10 13:56:52"
71,"Hon. Justice I.L. Kutigi, GCON",,"<p>Life Bencher, Former Chairman.</p>","2019-05-10 13:57:50","2019-05-10 13:57:50"
72,"Hon. Justice I.L. Kutigi, GCON",,"<p>Justice Kutigi was Chairman of the Body of Benchers from 2003 to 2004.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-10 13:58:31","2019-05-15 12:00:44"
73,"Chief Debo Akande, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-10 13:59:47","2019-05-10 13:59:47"
74,"Hon. Justice S.U. Onu, CON",,"<p>Justice Onu was Chairman of the Body of Benchers from 2005 to 2006.</p><p>&nbsp;</p><p>He is a Life Bencher</p>","2019-05-10 14:01:02","2019-05-15 12:13:03"
75,"Chief M.A. Ajomale",,"<p>Chief Ajomale was Chairman of the Body of Benchers from 2006 to 2007.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-10 14:02:09","2019-05-15 12:17:52"
76,"Hon. Justice Umar Abdullahi, CON",,"<p>Justice Abdullahi was Chairman of the Body of Benchers from 2007 to 2008.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-11 23:56:29","2019-05-15 12:21:18"
77,"Elder S.M. Olakunri, SAN",,"<p>Elder Olakunri, SAN was Chairman of the Body of Benchers from 2008 to 2009.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-12 00:09:20","2019-05-15 12:42:32"
78,"Hon. Justice A. I. Katsina-Alu, GCON",,"<p><br>Justice Katsina-Alu was Chairman of the Body of Benchers from 2009 to 2010.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-12 00:13:55","2019-05-15 12:47:45"
79,"Chief G.N. Uwechue, SAN",,"<p>Chief Uwechue, SAN was Chairman of the Body of Benchers from 2010 to 2011.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-12 00:15:10","2019-05-15 12:55:54"
80,"Hon. Justice Dahiru Musdapher, GCON",,"<p>Chief Uwechue, SAN was Chairman of the Body of Benchers from 2010 to 2011.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-12 00:16:26","2019-05-15 12:57:19"
81,"Chief IdowuSofola, MON, SAN",,"<p>Chief Sofola was Chairman of the Body of Benchers from 2012 to 2013.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-12 00:18:58","2019-05-15 13:54:07"
82,"Hon. Justice M.A. Mukhtar, GCON",,"<p>Justice Mukhtar was Chairman of the Body of Benchers from 2013 to 2014. She was also Chief Justice of Nigeria from 2012 to 2014</p><p>&nbsp;</p><p>She is a Life Bencher.</p>","2019-05-12 00:20:26","2019-05-15 13:57:03"
83,"Chief T.J.O. Okpoko, OON, SAN",,"<p>Chief T.J.O. Okpoko, OON, SAN was Chairman of the Body of Benchers from 2014 to 2015.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-12 00:28:16","2019-05-15 14:00:00"
84,"Hon. Justice Mahmud Muhammed, GCON",,"<p>Justice Mohammed, GCON was Chairman of the Body of Benchers from 2015 to 2016. He was also Chief Justice of Nigeria from 2014 to 2016</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-12 00:29:52","2019-05-13 16:15:54"
85,"Chief Bandele A. Aiku, SAN",,"<p>Life Bencher , Former Chairman.</p>","2019-05-12 00:31:29","2019-05-12 00:31:29"
86,"Hon. Justice W.S.N. Onnoghen, GCON",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 00:33:28","2019-05-12 00:33:28"
87,"Alh. Bashir M. Dalhatu",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 00:34:39","2019-05-13 11:11:07"
88,"Chief Amb. C.D. Orike",,"<p>Life Bencher.</p>","2019-05-12 00:36:38","2019-05-13 10:59:11"
89,"Hon. Justice M.D. Saleh, CON",,"<p>Life Bencher.</p>","2019-05-12 00:40:37","2019-05-13 11:14:06"
90,"Hon. Justice T.A. Oyeyipo, OFR",,"<p>Life Bencher.</p>","2019-05-12 00:42:07","2019-05-13 11:15:20"
91,"K.O. Longe, Esq",,"<p>Life Bencher,</p>","2019-05-12 00:43:32","2019-05-13 11:23:02"
92,"Hon. Justice K.M. Kolo",,"<p>Life Bencher.</p>","2019-05-12 00:45:12","2019-05-13 11:23:39"
93,"Alh.(Dr.) Aliyu Salman, SAN",,"<p>Life Bencher.</p>","2019-05-12 00:50:52","2019-05-13 11:27:42"
94,"Hon. Justice Uthman Mohammed, CON",,"<p>Life Bencher.</p>","2019-05-12 00:52:47","2019-05-13 11:24:47"
95,"Hon. Justice A.I. Iguh, CON",,"<p>Life Bencher.</p>","2019-05-12 00:54:08","2019-05-13 11:24:18"
96,"Mr. O.C.J. Okocha, MFR, SAN",,"<p>Life Bencher.</p>","2019-05-12 00:55:55","2019-05-13 11:28:26"
97,"Chief Wole Olanipekun, OFR, SAN",,"<p>Life Bencher.</p>","2019-05-12 00:57:50","2019-05-13 11:29:38"
98,"Hon. Justice U.A. Kalgo, CFR",,"<p>Life Bencher.</p>","2019-05-12 01:00:19","2019-05-13 11:42:31"
99,"Hon. Justice G.A. Oguntade, CFR",,"<p>Life Bencher.</p>","2019-05-12 01:07:43","2019-05-13 11:43:33"
100,"Hon. Justice S.A. Akintan, CON",,"<p>Life Bencher.</p>","2019-05-12 01:08:47","2019-05-13 11:45:49"
101,"Hon. Justice R.H. Cudjoe, OFR",,"<p>Life Bencher.</p>","2019-05-12 01:09:46","2019-05-13 11:48:15"
102,"Hon Justice Umaru Eri, CON",,"<p>Life Bencher.</p>","2019-05-12 01:11:35","2019-05-13 11:50:54"
103,"Hon. Justice D.N. Eyamba-Idem, OFR",,"<p>Life Bencher.</p>","2019-05-12 01:12:31","2019-05-13 11:51:18"
104,"Chief Badru Olaogun",,"<p>Life Bencher.</p>","2019-05-12 01:13:50","2019-05-13 11:51:48"
105,"Chief A.S. Awomolo, SAN",,"<p>Life Bencher.</p>","2019-05-12 01:15:24","2019-05-13 11:52:25"
106,"Chief Albert Akpomudje, SAN",,"<p>Life Bencher.</p>","2019-05-12 01:16:07","2019-05-13 11:52:53"
107,"Mrs. Funke Adekoya, SAN",,"<p>Life Bencher.</p>","2019-05-12 01:27:00","2019-05-13 11:53:17"
108,"Mr. Olisa Agbakoba, OON, SAN",,"<p>Life Bencher.</p>","2019-05-12 01:27:54","2019-05-13 11:53:43"
109,"Hon. Justice A.I. Salami, CON",,"<p>Life Bencher.</p>","2019-05-12 01:28:54","2019-05-13 11:54:14"
110,"Hon. Justice J.O. Ogebe, CON",,"<p>Life Bencher.</p>","2019-05-12 01:29:40","2019-05-13 11:54:39"
111,"Hon. Justice F.A. Ibiyeye, OFR",,"<p>Life Bencher.</p>","2019-05-12 01:30:27","2019-05-13 11:55:12"
112,"Hon. Justice Tijjani Abubakar, OFR",,"<p>Life Bencher.</p>","2019-05-12 01:35:00","2019-05-13 11:56:19"
113,"H.R.H. Eze (Dr.)Ejike Ume, SAN",,"<p>Life Bencher.</p>","2019-05-12 01:36:30","2019-05-13 11:57:27"
114,"Hon. Justice B.S. Bansi, OFR",,"<p>Life Bencher.</p>","2019-05-12 01:37:14","2019-05-13 11:58:00"
115,"Hon. Justice R.P.I. Bozimo, OFR",,"<p>Life Bencher.</p>","2019-05-12 01:38:43","2019-05-13 11:58:27"
116,"Mr. J.B. Daudu, SAN",,"<p>Life Bencher.</p>","2019-05-12 01:40:17","2019-05-13 11:58:59"
117,"Sir G. Ofodile Okafor, OON, SAN",,"<p>Life Bencher.</p>","2019-05-12 01:41:36","2019-05-13 11:59:22"
118,"Hon. Justice F.F. Tabai, CON",,"<p>Life Bencher.</p>","2019-05-12 01:42:30","2019-05-13 11:59:52"
119,"Hon. Justice J.A. Fabiyi, CFR",,"<p>Life Bencher.</p>","2019-05-12 01:43:33","2019-05-13 12:00:35"
120,"Hon. Justice Z.A. Bulkachuwa, CFR",,"<p>Life Bencher.</p>","2019-05-12 01:44:45","2019-05-13 12:01:00"
121,"Hon. Justice Ibrahim Umar, OFR",,"<p>Life Bencher.</p>","2019-05-12 01:45:51","2019-05-13 12:01:25"
122,"Hon. Justice L.H. Gummi, OFR",,"<p>Life Bencher.</p>","2019-05-12 01:46:39","2019-05-13 12:02:05"
123,"Hon. Justice A.N. Nwankwo, CON",,"<p>Life Bencher.</p>","2019-05-12 01:47:24","2019-05-13 12:02:49"
124,"Tijjani Inuwa-Dutse, mni",,"<p>Life Bencher.</p>","2019-05-12 01:48:09","2019-05-13 12:03:23"
125,"Alh. Murtala Aminu, OFR",,"<p>Life Bencher.</p>","2019-05-12 01:49:12","2019-05-13 12:05:43"
126,"Chief R.A. Lawal-Rabana, SAN",,"<p>Life Bencher.</p>","2019-05-12 01:50:20","2019-05-13 12:14:13"
127,"Chief O.B. Onyali, SAN",,"<p>Life Bencher.</p>","2019-05-12 01:51:45","2019-05-13 12:13:30"
128,"Chief (Mrs) Pricilla O. Kuye",,"<p>Life Bencher.</p>","2019-05-12 01:52:42","2019-05-13 12:12:57"
129,"Yinka Fayokun, Esq",,"<p>Life Bencher.</p>","2019-05-12 01:53:35","2019-05-13 12:03:56"
130,"(HRH) DVF Olateru-Olagbegi, CFR",,"<p>Life Bencher.</p>","2019-05-12 01:54:19","2019-05-13 12:15:00"
131,"Chief Sena Anthony",,"<p>Life Bencher.</p>","2019-05-12 01:55:08","2019-05-13 12:15:29"
132,"Chief Adeniyi Akintola, SAN",,"<p>Life Bencher.</p>","2019-05-12 01:55:45","2019-05-13 12:16:03"
133,"Mr. A.B. Mahmoud, OON, SAN",,"<p>Life Bencher.</p>","2019-05-12 01:56:36","2019-05-13 12:16:38"
134,"Hon. Justice Suleiman Galadima, CON",,"<p>Life Bencher.</p>","2019-05-12 01:57:24","2019-05-13 12:17:10"
135,"Hon. Justice J.N. Ndajiwo, OFR",,"<p>Life Bencher.</p>","2019-05-12 01:58:15","2019-05-13 12:17:36"
136,"Hon. Justice S.A. Mahuta, OFR",,"<p>Life Bencher.</p>","2019-05-12 01:59:00","2019-05-13 12:22:59"
137,"Hon. Justice Adamu Aliyu, OFR",,"<p>Life Bencher.</p>","2019-05-12 01:59:50","2019-05-13 13:33:40"
138,"Hon. Justice I.N. Ndu, OFR",,"<p>Life Bencher.</p>","2019-05-12 02:00:32","2019-05-13 13:34:48"
139,"Inuwa Abdul-Kadir, Esq",,"<p>Life Bencher.</p>","2019-05-12 02:01:11","2019-05-13 13:36:32"
140,"Mr. Dele Adesina, SAN",,"<p>Life Bencher.</p>","2019-05-12 02:02:01","2019-05-13 13:38:36"
141,"Prince Lanke Odogiyon",,"<p>Life Bencher.</p>","2019-05-12 02:02:46","2019-05-13 13:37:51"
142,"Mr. Oluwarotimi O. Akeredolu, SAN",,"<p>Life Bencher.</p>","2019-05-12 02:03:48","2019-05-13 14:06:04"
143,"Chief M.O.O. Nwamu",,"<p>Life Bencher.</p>","2019-05-12 02:04:40","2019-05-13 13:39:32"
144,"Mr. Yusuf O. Ali, SAN",,"<p>Life Bencher.</p>","2019-05-12 02:05:45","2019-05-13 14:07:54"
145,"Mrs. Fatima Kwaku, MFR",,"<p>Life Bencher.</p>","2019-05-12 02:06:34","2019-05-13 14:09:11"
146,"Hon. Justice Bode Rhodes-Vivour, CFR",,"<p>Life Bencher.</p>","2019-05-12 02:07:32","2019-05-13 14:12:04"
147,"Hon. Justice Amiru Sanusi, OFR",,"<p>Life Bencher.</p>","2019-05-12 02:09:33","2019-05-13 14:12:57"
148,"Chief J. K. Gadzama, OFR, SAN",,"<p>Life Bencher.</p>","2019-05-12 02:10:23","2019-05-13 14:14:35"
149,"Hon. Aminu Waziri Tambuwal, CFR",,"<p>Life Bencher.</p>","2019-05-12 02:11:19","2019-05-13 14:15:24"
150,"Mr. Augustine Alegeh, SAN",,"<p>Life Bencher.</p>","2019-05-12 02:12:09","2019-05-13 14:16:38"
151,"Mr. Okey Wali, SAN",,"<p>Life Bencher.</p>","2019-05-12 02:13:10","2019-05-13 14:17:28"
152,"Hon. Justice K. B. Akaahs, OFR",,"<p>Life Bencher.</p>","2019-05-12 02:14:04","2019-05-13 14:17:55"
153,"Hon. Justice M. D. Mohammed",,"<p>Life Bencher.</p>","2019-05-12 02:15:09","2019-05-13 14:18:18"
154,"Hon. Justice C. B. Ogunbiyi",,"<p>Life Bencher.</p>","2019-05-12 02:16:02","2019-05-13 14:18:45"
155,"Hon. Justice M. Peter Odili, CFR",,"<p>Life Bencher.</p>","2019-05-12 02:17:36","2019-05-13 14:19:10"
156,"Hon. Justice M. L. Garba",,"<p>Life Bencher.</p>","2019-05-12 02:18:31","2019-05-13 14:20:43"
157,"Hon. Justice M. B. Dongban- Mensem",,"<p>Life Bencher.</p>","2019-05-12 02:19:43","2019-05-13 14:33:08"
158,"Hon. Justice M. B. Dongban- Mensem",,"<p>Life Bencher.</p>","2019-05-12 02:19:50","2019-05-13 14:19:30"
159,"Hon. Justice H.Y. Heman, CON",,"<p>Life Bencher.</p>","2019-05-12 02:20:51","2019-05-13 14:38:22"
160,"Hon. Justice Kashim Zannah, OFR",,"<p>Life Bencher.</p>","2019-05-12 02:21:43","2019-05-13 14:39:30"
161,"Hon. Justice Kate Abiri, CON",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 02:22:43","2019-05-12 02:22:43"
162,"Hon. Justice I. N. Auta, OFR",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 02:23:33","2019-05-12 02:23:33"
163,"A. Mustapha Goniri, Esq",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 02:25:35","2019-05-12 02:25:35"
164,"Mr. Umeh Kalu, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 02:26:57","2019-05-12 02:26:57"
165,"Chief Bayo Ojo, CON, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 02:28:02","2019-05-12 02:28:02"
166,"Tajudeen Oladoja, Esq",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 02:30:11","2019-05-12 02:30:11"
167,"Mr. E. C. Ukala, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 02:31:07","2019-05-12 02:31:07"
168,"Chief A.O.E Eghobamien, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 02:32:00","2019-05-12 02:32:00"
169,"Ichie L.M.E Ezeofor",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 02:34:12","2019-05-12 02:34:12"
170,"Chief Ziggy Azike",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 02:36:05","2019-05-12 02:36:05"
171,"Mr. Adetokunbo Kayode, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:01:30","2019-05-12 03:01:30"
172,"Sen. Victor Ndoma-Egba, CON, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:02:30","2019-05-12 03:02:30"
173,"Chief Charles Edosomwan, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:03:19","2019-05-12 03:03:19"
174,"Mr. C. A. Ajuyah, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:04:30","2019-05-12 03:04:30"
175,"Hon. Justice Emmanuel Ayoola",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:05:27","2019-05-12 03:05:27"
176,"Hon. Justice Nasiru Ajanah, CON",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:06:14","2019-05-12 03:06:14"
177,"Hon. Justice Olukayode Ariwoola",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:07:13","2019-05-12 03:07:13"
178,"Hon. Justice K.M.O. Kekere-Ekun",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:08:13","2019-05-12 03:08:13"
179,"Hon. Justice Amina Augie, CON",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:09:34","2019-05-12 03:09:34"
180,"Hon. Justice P. A. Galinje",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:10:11","2019-05-12 03:10:11"
181,"Hon. Justice U. M. Abba Aji",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:11:04","2019-05-12 03:11:04"
182,"Hon. Justice R. C. Agbo",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:11:45","2019-05-12 03:11:45"
183,"Hon. Justice  J. O. Bada",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:12:24","2019-05-12 03:12:24"
184,"Hon. Justice S. Denton West",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:13:09","2019-05-12 03:13:09"
185,"Hon. Justice A. S. Dahiru, OFR",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:13:45","2019-05-12 03:13:45"
186,"Hon. Justice Kulu Aliyu",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:14:28","2019-05-12 03:14:28"
187,"Hon. Justice I. Hwande, OFR",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:15:10","2019-05-12 03:15:10"
188,"Mrs. Nella Andem-Rabana, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:15:59","2019-05-12 03:15:59"
189,"Mr. Joe Abrahams, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:16:54","2019-05-12 03:16:54"
190,"Hon. Edward G. Pwajok, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:19:01","2019-05-12 03:19:01"
191,"Hon. Justice Shehu Atiku",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:19:50","2019-05-12 03:19:50"
192,"Hon. Justice C. O. Idahosa",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:20:54","2019-05-12 03:20:54"
193,"Mr. Eyitayo Jegede, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-12 03:22:37","2019-05-12 03:22:37"
